gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
PHG190309120,fostr105,CUX,1,value,27,0,34,6,1,1,0,2,1,3,0,6,0,0,0,0,0,1,2,0,1,,,1,,1,19030912,0,PHI10,v,PHG,1,0,0,championship,y,d
PHG190309120,bellw103,PHG,1,value,27,0,40,10,2,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,,1,,1,,1,19030912,0,PHI10,h,CUX,0,1,0,championship,y,d
CUX190309131,buckh101,PHG,1,value,24,,40,15,3,0,0,8,8,1,,1,0,0,0,0,,,,,,1,,1,,1,19030913,1,NYC18,v,CUX,0,1,0,championship,y,
CUX190309131,mccld101,CUX,1,value,27,,29,2,0,1,0,1,1,1,,1,0,0,0,0,,,,,1,,,1,,1,19030913,1,NYC18,h,PHG,1,0,0,championship,y,
PHG190309132,mccld101,CUX,1,value,24,,35,9,0,0,0,5,,2,,4,0,0,0,0,,,,,,1,,1,,1,19030913,2,NYC18,v,PHG,0,1,0,championship,y,
PHG190309132,bellw103,PHG,1,value,27,,37,7,0,0,0,2,,3,,1,0,0,0,0,,,,,1,,,1,,1,19030913,2,NYC18,h,CUX,1,0,0,championship,y,
CUX190309140,cartk101,PHG,1,value,24,0,35,5,2,0,0,3,1,0,0,3,0,1,0,2,1,0,0,0,,1,,1,,1,19030914,0,TRE02,v,CUX,0,1,0,championship,y,d
CUX190309140,fostr105,CUX,1,value,27,0,34,3,1,0,0,1,1,2,0,3,1,0,1,1,0,1,0,0,1,,,1,,1,19030914,0,TRE02,h,PHG,1,0,0,championship,y,d
PHG190309150,mccld101,CUX,1,value,24,0,36,6,2,0,0,3,1,4,0,8,0,0,0,0,0,0,0,0,,1,,1,,1,19030915,0,CAM02,v,PHG,0,1,0,championship,y,d
PHG190309150,cartk101,PHG,1,value,27,0,33,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,,,1,,1,19030915,0,CAM02,h,CUX,1,0,0,championship,y,d
CUX190309180,bellw103,PHG,1,value,15,0,28,8,0,1,0,7,3,2,0,2,1,1,0,1,0,0,2,1,,1,,1,,,19030918,0,HRB01,v,CUX,0,1,0,championship,y,d
CUX190309180,cartk101,PHG,2,value,9,0,19,8,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,,,,,1,,19030918,0,HRB01,v,CUX,0,1,0,championship,y,d
CUX190309180,fostr105,CUX,1,value,27,0,34,7,0,0,0,3,0,1,0,5,0,0,0,0,0,3,0,1,1,,,1,,1,19030918,0,HRB01,h,PHG,1,0,0,championship,y,d
PHG190309250,fostr105,CUX,1,value,27,0,35,3,1,0,0,0,0,4,0,7,0,0,0,0,0,1,0,1,1,,,1,,1,19030925,0,CAM02,v,PHG,1,0,0,championship,y,d
PHG190309250,cartk101,PHG,1,value,27,0,34,5,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,,1,,1,,1,19030925,0,CAM02,h,CUX,0,1,0,championship,y,d
CUX190409010,fostr105,PHG,1,value,27,,36,7,,,2,4,,5,,18,0,0,0,0,,,,,1,,,1,,1,19040901,0,ACY01,v,CUX,1,0,0,championship,y,
CUX190409010,mccld101,CUX,1,value,12,,21,6,,,1,5,,0,,2,1,0,0,1,,,,,,1,,1,,,19040901,0,ACY01,h,PHG,0,1,0,championship,y,
CUX190409010,ballw102,CUX,2,value,15,,23,4,,,0,3,,2,,2,0,0,0,1,,,,,,,,,1,,19040901,0,ACY01,h,PHG,0,1,0,championship,y,
CUX190409020,hornw101,PHG,1,value,18,,27,5,,,0,3,1,3,,4,0,0,0,0,,,,,,1,,1,,,19040902,0,ACY01,v,CUX,0,1,0,championship,y,
CUX190409020,fostr105,PHG,2,value,6,,6,0,,,0,0,0,0,,0,0,0,0,0,,,,,,,,,1,,19040902,0,ACY01,v,CUX,0,1,0,championship,y,
CUX190409020,buckh101,CUX,1,value,27,,35,6,,,0,1,1,2,,4,0,0,0,0,,,,,1,,,1,,1,19040902,0,ACY01,h,PHG,1,0,0,championship,y,
CUX190409030,fostr105,PHG,1,value,27,,33,2,,,1,2,1,1,,5,3,0,0,0,,,,,1,,,1,,1,19040903,0,ACY01,v,CUX,1,0,0,championship,y,
CUX190409030,mccld101,CUX,1,value,27,,34,6,,,0,4,2,1,,5,2,0,0,0,,,,,,1,,1,,1,19040903,0,ACY01,h,PHG,0,1,0,championship,y,
NYL191208240,mendj101,CUW,1,value,27,,36,6,1,0,0,1,1,1,,8,1,0,0,0,,,,,1,,,1,,1,19120824,0,NYC14,v,NYL,1,0,0,exhibition,y,
NYL191208240,willj109,NYL,1,value,27,,36,6,1,0,0,2,2,1,,4,0,0,0,2,,,,,,1,,1,,1,19120824,0,NYC14,h,CUW,0,1,0,exhibition,y,
NYL191307180,dougc102,CAG,1,value,24,,,15,,,,8,,,,,,,,,,,,,,1,,1,,1,19130718,0,NYC22,v,NYL,0,1,0,championship,,
NYL191307180,willj109,NYL,1,value,27,,,11,,,,3,,,,,,,,,,,,,1,,,1,,1,19130718,0,NYC22,h,CAG,1,0,0,championship,,
NYL191307190,dougc102,CAG,3,value,,,,,,,,,,,,,,,,,,,,,,,,,1,,19130719,0,NYC22,v,NYL,0,0,1,championship,,
NYL191307190,gateb101,CAG,2,value,,,,,,,,,,,,,,,,,,,,,,,,,,,19130719,0,NYC22,v,NYL,0,0,1,championship,,
NYL191307190,lindb103,CAG,1,value,,,,,,,,,,,,,,,,,,,,,,,,1,,,19130719,0,NYC22,v,NYL,0,0,1,championship,,
NYL191307190,reddd101,NYL,1,value,,,,,,,,,,,,,,,,,,,,,,,,1,,,19130719,0,NYC22,h,CAG,0,0,1,championship,,
NYL191307190,wadel101,NYL,2,value,,,,,,,,,,,,,,,,,,,,,,,,,1,,19130719,0,NYC22,h,CAG,0,0,1,championship,,
NYL191307201,lindb103,CAG,1,value,26,,40,10,,,1,5,5,4,,5,0,0,0,1,,,,,,1,,1,,1,19130720,1,NYC22,v,NYL,0,1,0,championship,y,
NYL191307201,willj109,NYL,1,value,27,,39,12,,,0,4,,1,,8,0,0,0,2,,,,,1,,,1,,1,19130720,1,NYC22,h,CAG,1,0,0,championship,y,
NYL191307202,johnd108,CAG,1,value,1,,4,0,,,0,0,0,2,,1,1,0,0,0,,,,,,,,1,,,19130720,2,NYC22,v,NYL,1,0,0,championship,y,
NYL191307202,dougc102,CAG,2,value,23,,32,11,,,0,5,,2,,4,2,0,0,2,,,,,1,,,,,,19130720,2,NYC22,v,NYL,1,0,0,championship,y,
NYL191307202,gateb101,CAG,3,value,3,,3,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,1,,19130720,2,NYC22,v,NYL,1,0,0,championship,y,
NYL191307202,wadel101,NYL,1,value,24,,35,13,,,2,4,4,2,,2,0,0,0,0,,,,,,,,1,,,19130720,2,NYC22,h,CAG,0,1,0,championship,y,
NYL191307202,willj109,NYL,2,value,3,,4,2,,,0,2,2,0,,0,0,0,0,0,,,,,,1,,,1,,19130720,2,NYC22,h,CAG,0,1,0,championship,y,
CAG191307270,willj109,NYL,1,value,27,0,30,6,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,,,1,,1,19130727,0,CHI09,v,CAG,1,0,0,championship,y,y
CAG191307270,lindb103,CAG,1,value,27,0,43,10,1,0,1,8,5,1,0,7,0,0,0,0,0,1,0,0,,1,,1,,1,19130727,0,CHI09,h,NYL,0,1,0,championship,y,y
CAG191307280,wadel101,NYL,1,value,27,0,34,7,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,1,,,1,,1,19130728,0,CHI09,v,CAG,1,0,0,championship,y,y
CAG191307280,gateb101,CAG,1,value,27,0,37,8,2,0,0,3,2,1,0,5,0,0,0,0,0,0,0,0,,1,,1,,1,19130728,0,CHI09,h,NYL,0,1,0,championship,y,y
CAG191307290,barts101,NYL,1,value,4,0,10,3,0,0,0,4,1,1,0,0,2,0,0,1,0,2,0,0,,,,1,,,19130729,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307290,willj109,NYL,2,value,14,0,21,5,1,1,0,2,1,1,0,1,0,1,0,0,0,2,2,0,,,,,,,19130729,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307290,reddd101,NYL,3,value,6,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,19130729,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307290,wadel101,NYL,4,value,1,0,3,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,,1,,,1,,19130729,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307290,craws102,CAG,1,value,25,0,40,10,3,0,0,6,5,5,0,2,1,0,0,1,0,1,1,0,,,,1,,,19130729,0,CHI09,h,NYL,1,0,0,championship,y,y
CAG191307290,lindb103,CAG,2,value,2,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,1,,19130729,0,CHI09,h,NYL,1,0,0,championship,y,y
CAG191307300,willj109,NYL,1,value,24,0,41,15,3,2,0,9,9,3,0,1,0,0,0,0,0,2,1,0,,1,,1,,1,19130730,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307300,johnd108,CAG,1,value,1,0,6,4,1,0,0,4,4,2,0,0,0,0,0,0,0,0,1,0,,,,1,,,19130730,0,CHI09,h,NYL,1,0,0,championship,y,y
CAG191307300,gateb101,CAG,2,value,26,0,33,5,0,1,0,1,1,0,0,4,1,0,0,0,0,0,0,0,1,,,,1,,19130730,0,CHI09,h,NYL,1,0,0,championship,y,y
CAG191307310,wadel101,NYL,1,value,24,0,30,5,0,0,0,2,0,2,0,4,0,0,0,1,0,0,1,0,,1,,1,,1,19130731,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307310,lindb103,CAG,1,value,27,0,34,5,0,0,0,1,0,2,1,7,0,0,0,2,0,1,0,0,1,,,1,,1,19130731,0,CHI09,h,NYL,1,0,0,championship,y,y
CAG191308022,willj109,NYL,1,value,27,,38,8,,,0,3,,3,,3,0,0,0,0,,,,,1,,,1,,1,19130802,2,CHI09,v,CAG,1,0,0,championship,y,
CAG191308022,gateb101,CAG,1,value,9,,20,7,,,0,5,,4,,0,0,0,0,0,,,,,,1,,1,,,19130802,2,CHI09,h,NYL,0,1,0,championship,y,
CAG191308022,lindb103,CAG,2,value,18,,29,7,,,0,4,,4,,2,0,0,0,0,,,,,,,,,1,,19130802,2,CHI09,h,NYL,0,1,0,championship,y,
CUW191308021,reddd101,NYL,1,value,21,0,32,6,1,0,1,5,4,4,0,1,0,1,0,1,0,1,0,0,,,,1,,,19130802,1,CHI09,v,CUW,1,0,0,exhibition,y,y
CUW191308021,willj109,NYL,2,value,9,0,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,,,,1,,19130802,1,CHI09,v,CUW,1,0,0,exhibition,y,y
CUW191308021,pedre101,CUW,1,value,25,0,36,11,1,1,0,4,4,2,0,3,0,0,0,1,0,2,0,0,,,,1,,,19130802,1,CHI09,h,NYL,0,1,0,exhibition,y,y
CUW191308021,juncj101,CUW,2,value,5,0,12,3,1,0,0,2,2,4,1,1,0,1,0,0,0,0,0,0,,1,,,1,,19130802,1,CHI09,h,NYL,0,1,0,exhibition,y,y
CAG191308090,willj109,NYL,1,value,27,,42,10,,,1,6,,3,,5,0,0,0,0,,,,,1,,,1,,1,19130809,0,CHI09,v,CAG,1,0,0,championship,y,
CAG191308090,gateb101,CAG,1,value,9,,15,5,,,0,4,,1,,1,0,0,0,0,,,,,,1,,1,,,19130809,0,CHI09,h,NYL,0,1,0,championship,y,
CAG191308090,lindb103,CAG,2,value,12,,22,9,,,0,7,,1,,1,0,0,0,0,,,,,,,,,,,19130809,0,CHI09,h,NYL,0,1,0,championship,y,
CAG191308090,taylj104,CAG,3,value,6,,7,0,,,0,0,0,1,,3,0,0,0,0,,,,,,,,,1,,19130809,0,CHI09,h,NYL,0,1,0,championship,y,
CAG191308121,wadel101,NYL,1,value,22,0,31,8,1,0,0,2,2,2,0,2,0,0,0,1,0,3,0,0,1,,,1,,,19130812,1,CHI09,v,CAG,1,0,0,championship,y,y
CAG191308121,willj109,NYL,2,value,5,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,,,,1,,19130812,1,CHI09,v,CAG,1,0,0,championship,y,y
CAG191308121,craws102,CAG,1,value,27,0,41,10,1,0,0,3,2,3,0,1,0,0,0,3,0,2,0,0,,1,,1,,1,19130812,1,CHI09,h,NYL,0,1,0,championship,y,y
CAG191308122,willj109,NYL,1,value,24,,34,8,,,0,3,,4,,3,0,0,0,0,,,,,,1,,1,,1,19130812,2,CHI09,v,CAG,0,1,0,championship,y,
CAG191308122,taylj104,CAG,1,value,27,,30,4,,,0,0,0,3,,6,0,0,0,0,,,,,1,,,1,,1,19130812,2,CHI09,h,NYL,1,0,0,championship,y,
CAG191308130,gansj101,NYL,1,value,27,0,40,9,1,0,0,1,1,5,0,2,1,0,0,1,0,3,2,0,1,,,1,,1,19130813,0,CHI09,v,CAG,1,0,0,championship,y,y
CAG191308130,gateb101,CAG,1,value,27,0,38,11,1,0,0,4,4,2,0,3,1,0,0,0,0,1,1,0,,1,,1,,1,19130813,0,CHI09,h,NYL,0,1,0,championship,y,y
IN4191505090,dixos102,CG1,1,value,24,,37,7,1,0,1,5,,5,,5,0,2,0,0,,,,,,1,,1,,1,19150509,0,IND09,v,IN4,0,1,0,exhibition,y,
IN4191505090,dismd101,IN4,1,value,27,,28,0,0,0,0,0,0,0,,5,1,0,0,0,,,,,1,,,1,,1,19150509,0,IND09,h,CG1,1,0,0,exhibition,y,
CAG191608270,dismd101,IN4,1,value,24,0,32,4,1,0,0,3,0,4,0,2,0,0,0,1,0,0,0,0,,1,,1,,1,19160827,0,CHI09,v,CAG,0,1,0,exhibition,y,y
CAG191608270,wickf102,CAG,1,value,27,0,32,3,0,0,0,1,1,2,0,6,1,0,0,1,0,0,0,0,1,,,1,,1,19160827,0,CHI09,h,IN4,1,0,0,exhibition,y,y
CAG191608280,johnd108,IN4,1,value,24,0,35,5,0,1,0,4,4,3,0,7,3,0,0,0,1,3,0,0,,1,,1,,1,19160828,0,CHI09,v,CAG,0,1,0,exhibition,y,y
CAG191608280,whitd107,CAG,1,value,27,0,38,8,1,0,0,2,0,4,0,6,0,0,0,1,0,1,2,0,1,,,1,,1,19160828,0,CHI09,h,IN4,1,0,0,exhibition,y,y
ACY192007112,goodu101,NYL,2,value,,,,,,,,,,,,,,,,,,,,,1,,,,1,,19200711,2,NYC15,v,ACY,1,0,0,exhibition,,
ACY192007112,reava101,NYL,1,value,,,,,,,,,,,,,,,,,,,,,,,,1,,,19200711,2,NYC15,v,ACY,1,0,0,exhibition,,
ACY192007112,deasy101,ACY,3,value,,,,,,,,,,,,,,,,,,,,,,,,,1,,19200711,2,NYC15,h,NYL,0,1,0,exhibition,,
ACY192007112,ryanr102,ACY,2,value,18,,,2,,,,2,,2,,,,,,,,,,,,1,,,,,19200711,2,NYC15,h,NYL,0,1,0,exhibition,,
ACY192007112,treah101,ACY,1,value,7,,,5,,,,5,,,,,,,,,,,,,,,,1,,,19200711,2,NYC15,h,NYL,0,1,0,exhibition,,
NYL192007111,reddd101,ACY,1,value,27,,,4,,1,,0,0,,,1,,,,,,,,,1,,,1,,1,19200711,1,NYC15,v,NYL,1,0,0,exhibition,,
NYL192007111,willj109,NYL,1,value,27,,,11,1,2,,5,5,,,,1,,,,,,,,,1,,1,,1,19200711,1,NYC15,h,ACY,0,1,0,exhibition,,
KCM192008010,willt104,CAG,1,value,24,,32,8,,,0,4,,2,,6,1,0,0,3,,0,,0,,,,1,,,19200801,0,KAN02,v,KCM,0,1,0,regular,y,
KCM192008010,marsj103,CAG,2,value,10,,15,3,,,0,1,,2,,2,1,0,0,1,,0,,0,,1,,,1,,19200801,0,KAN02,v,KCM,0,1,0,regular,y,
KCM192008010,rogab101,KCM,1,value,36,,47,12,0,0,0,4,,3,,13,0,1,0,1,,5,,2,1,,,1,,1,19200801,0,KAN02,h,CAG,1,0,0,regular,y,
ACY192008291,willj109,NYL,1,value,24,,36,9,2,1,0,6,,1,,3,0,0,0,0,,,,,,1,,1,,1,19200829,1,NYC15,v,ACY,0,1,0,exhibition,y,
ACY192008291,reddd101,ACY,1,value,27,,34,3,0,1,0,0,0,1,,6,1,0,0,0,,,,,1,,,1,,1,19200829,1,NYC15,h,NYL,1,0,0,exhibition,y,
ACY192008292,croww102,NYL,1,value,9,,16,5,0,0,0,6,,2,0,0,0,0,0,1,,,,,,1,,1,,,19200829,2,NYC15,v,ACY,0,1,0,exhibition,y,
ACY192008292,reava101,NYL,2,value,15,,18,3,0,0,1,1,,0,0,3,0,0,0,1,,,,,,,,,1,,19200829,2,NYC15,v,ACY,0,1,0,exhibition,y,
ACY192008292,reddd101,ACY,1,value,27,,34,11,1,1,0,3,3,0,,4,0,1,0,2,,,,,1,,,1,,1,19200829,2,NYC15,h,NYL,1,0,0,exhibition,y,
SLG192010040,lyong101,SLN,1,value,27,4,40,8,0,0,1,5,3,5,1,6,0,1,0,0,0,0,2,0,,1,,1,,1,19201004,0,STL11,v,SLG,0,1,0,exhibition,y,y
SLG192010040,drakb101,SLG,1,value,17,0,27,9,1,1,0,4,4,0,0,1,0,0,0,0,0,1,0,0,,,,1,,,19201004,0,STL11,h,SLN,1,0,0,exhibition,y,y
SLG192010040,finnj101,SLG,2,value,13,0,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,,19201004,0,STL11,h,SLN,1,0,0,exhibition,y,y
SLG192010050,hainj101,SLN,1,value,27,0,30,2,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,1,,,1,,1,19201005,0,STL11,v,SLG,1,0,0,exhibition,y,y
SLG192010050,carrw101,SLG,1,value,14,0,23,7,3,0,0,5,4,2,0,1,0,0,0,0,1,1,0,0,,1,,1,,,19201005,0,STL11,h,SLN,0,1,0,exhibition,y,y
SLG192010050,gateb101,SLG,2,value,13,0,15,3,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,,,,1,,19201005,0,STL11,h,SLN,0,1,0,exhibition,y,y
IN4192104240,leblj101,CNN,1,value,27,,35,6,0,0,0,0,0,1,,5,0,0,0,3,,,,,1,,,1,,1,19210424,0,IND11,v,IN4,1,0,0,exhibition,y,
IN4192104240,jeffj102,IN4,1,value,27,,33,5,0,0,0,2,1,2,,3,0,0,0,2,,,,,,1,,1,,1,19210424,0,IND11,h,CNN,0,1,0,exhibition,y,
CB1192104300,taylj109,CG1,1,value,27,,35,8,,,1,3,,1,,12,0,0,0,0,,,,,1,,,1,,1,19210430,0,COL04,v,CB1,1,0,0,regular,y,
CB1192104300,britg103,CB1,1,value,27,,35,7,,,0,5,,1,,8,0,0,1,3,,,,,,1,,1,,1,19210430,0,COL04,h,CG1,0,1,0,regular,y,
CB1192105010,farrl101,CG1,1,value,33,,42,11,,,0,4,,2,,8,0,0,0,1,,,,,,,,1,,1,19210501,0,COL04,v,CB1,0,0,1,regular,y,
CB1192105010,rober105,CB1,1,value,33,,44,7,,,0,4,,7,,6,0,1,0,4,,,,,,,,1,,1,19210501,0,COL04,h,CG1,0,0,1,regular,y,
CAG192105070,currr101,KCM,1,value,24,,27,4,,,0,2,,0,,7,0,0,0,2,,,,,,1,,1,,1,19210507,0,CHI09,v,CAG,0,1,0,regular,y,
CAG192105070,browd104,CAG,1,value,27,,33,1,,,0,0,,3,,9,0,0,0,0,,,,,1,,,1,,1,19210507,0,CHI09,h,KCM,1,0,0,regular,y,
DT1192105070,treah101,ACY,1,value,15,0,27,7,2,0,2,7,6,4,0,4,0,0,0,0,1,1,0,0,,,,1,,,19210507,0,DET07,v,DT1,0,1,0,exhibition,y,y
DT1192105070,wills103,ACY,2,value,9,0,14,4,2,0,0,2,2,1,0,1,0,0,0,0,0,1,0,0,,1,,,1,,19210507,0,DET07,v,DT1,0,1,0,exhibition,y,y
DT1192105070,forcb101,DT1,1,value,15,3,23,8,2,0,2,6,6,1,0,0,0,0,0,0,0,0,0,0,,,,1,,,19210507,0,DET07,h,ACY,1,0,0,exhibition,y,y
DT1192105070,gateb101,DT1,2,value,6,0,9,4,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,,,,,,,19210507,0,DET07,h,ACY,1,0,0,exhibition,y,y
DT1192105070,hollb106,DT1,3,value,6,0,9,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,,,,1,,19210507,0,DET07,h,ACY,1,0,0,exhibition,y,y
CAG192105080,rogab101,KCM,1,value,27,,31,5,,,0,1,,3,,6,0,0,0,1,,,,,1,,,1,,1,19210508,0,CHI09,v,CAG,1,0,0,regular,y,
CAG192105080,johnt105,CAG,1,value,18,,27,2,,,0,3,,5,,1,0,0,0,2,,,,,,1,,1,,,19210508,0,CHI09,h,KCM,0,1,0,regular,y,
CAG192105080,willt104,CAG,2,value,9,,10,0,,,0,0,,0,,1,0,0,0,1,,,,,,,,,1,,19210508,0,CHI09,h,KCM,0,1,0,regular,y,
CAG192105090,craws102,KCM,1,value,9,,17,6,,,0,6,,2,,1,0,0,0,0,,,,,,1,,1,,,19210509,0,CHI09,v,CAG,0,1,0,regular,y,
CAG192105090,forez101,KCM,2,value,15,,18,2,,,0,1,,2,,3,0,0,0,0,,,,,,,,,1,,19210509,0,CHI09,v,CAG,0,1,0,regular,y,
CAG192105090,staro101,CAG,1,value,5,,11,3,,,0,1,,2,,1,0,0,0,1,,,,,,,,1,,,19210509,0,CHI09,h,KCM,1,0,0,regular,y,
CAG192105090,johnt105,CAG,2,value,2,,5,3,,,0,4,,0,,1,0,0,0,0,,,,,,,,,,,19210509,0,CHI09,h,KCM,1,0,0,regular,y,
CAG192105090,willt104,CAG,3,value,20,,22,1,,,0,0,,0,,3,0,0,0,2,,,,,1,,,,1,,19210509,0,CHI09,h,KCM,1,0,0,regular,y,
IN4192105090,britg103,CB1,1,value,7,,10,3,,,0,0,,1,,,0,0,0,0,,,,,,,,1,,,19210509,0,IND11,v,IN4,0,1,0,regular,y,
IN4192105090,ewinb103,CB1,2,value,17,,33,7,,,0,7,,10,,,0,1,0,0,,,,,,1,,,1,,19210509,0,IND11,v,IN4,0,1,0,regular,y,
IN4192105090,jeffj102,IN4,1,value,27,,32,3,,,0,0,,1,,,0,0,0,3,,,,,1,,,1,,1,19210509,0,IND11,h,CB1,1,0,0,regular,y,
CNN192105220,wickf102,CG1,1,value,15,,26,10,,,0,8,,1,,2,0,0,0,2,,,,,,1,,1,,,19210522,0,CIN07,v,CNN,0,1,0,regular,y,
CNN192105220,farrl101,CG1,2,value,9,,19,7,,,0,6,,2,,1,0,1,0,1,,,,,,,,,1,,19210522,0,CIN07,v,CNN,0,1,0,regular,y,
CNN192105220,manec101,CNN,1,value,15,,23,4,0,0,1,2,,2,,3,0,0,0,2,,,,,1,,,1,,,19210522,0,CIN07,h,CG1,1,0,0,regular,y,
CNN192105220,boadl101,CNN,2,value,12,,16,1,0,0,0,0,,2,,0,0,1,0,0,,,,,,,1,,1,,19210522,0,CIN07,h,CG1,1,0,0,regular,y,
DT1192106060,suarj101,CNN,1,value,24,,35,11,,,1,4,,1,,3,0,0,0,2,,,,,,1,,1,,1,19210606,0,DET07,v,DT1,0,1,0,regular,y,
DT1192106060,gateb101,DT1,1,value,27,,29,0,,,0,0,0,2,,10,0,0,0,0,,,,,1,,,1,,1,19210606,0,DET07,h,CNN,1,0,0,regular,y,
KCM192106120,leblj101,CNN,1,value,24,,34,12,,,0,6,,0,,1,0,0,0,4,,,,,,1,,1,,1,19210612,0,KAN02,v,KCM,0,1,0,regular,y,
KCM192106120,rogab101,KCM,1,value,27,,36,6,,,0,3,,5,,6,0,1,0,0,,,,,1,,,1,,1,19210612,0,KAN02,h,CNN,1,0,0,regular,y,
CAG192106130,johnd108,IN4,1,value,29,0,34,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,,1,,1,,1,19210613,0,CHI09,v,CAG,0,1,0,regular,y,y
CAG192106130,staro101,CAG,1,value,30,0,35,3,0,1,0,0,0,1,0,3,1,0,0,1,0,0,1,0,1,,,1,,1,19210613,0,CHI09,h,IN4,1,0,0,regular,y,y
CAG192106190,taylj109,CG1,1,value,24,0,32,3,0,1,0,4,2,5,0,2,0,0,0,0,0,2,3,1,,1,,1,,1,19210619,0,CHI09,v,CAG,0,1,0,regular,y,y
CAG192106190,johnt105,CAG,1,value,27,0,35,5,0,0,0,1,1,4,0,3,0,0,0,0,0,0,1,0,1,,,1,,1,19210619,0,CHI09,h,CG1,1,0,0,regular,y,y
CAG192106200,ballw102,CG1,1,value,29,,38,7,0,0,0,4,,6,,4,1,0,0,1,,,,0,,1,,1,,1,19210620,0,CHI09,v,CAG,0,1,0,regular,y,
CAG192106200,staro101,CAG,1,value,24,,33,10,3,0,0,3,,3,,2,0,0,0,1,,0,,0,,,,1,,,19210620,0,CHI09,h,CG1,1,0,0,regular,y,
CAG192106200,willt104,CAG,2,value,3,,3,0,0,0,0,0,0,0,,3,0,0,0,0,,0,,0,,,,,,,19210620,0,CHI09,h,CG1,1,0,0,regular,y,
CAG192106200,marsj103,CAG,3,value,3,,4,1,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,1,,,,1,,19210620,0,CHI09,h,CG1,1,0,0,regular,y,
SLG192106290,lanei101,CB1,1,value,6,3,14,5,1,0,1,6,6,2,0,0,0,0,0,2,0,2,0,0,,1,,1,,,19210629,0,STL11,v,SLG,0,1,0,regular,y,y
SLG192106290,britg103,CB1,2,value,18,0,39,12,2,0,1,15,8,4,0,4,4,0,0,3,2,0,1,0,,,,,1,,19210629,0,STL11,v,SLG,0,1,0,regular,y,y
SLG192106290,drakb101,SLG,1,value,27,0,37,6,2,0,0,1,1,2,0,2,1,0,0,2,0,2,1,0,1,,,1,,1,19210629,0,STL11,h,CB1,1,0,0,regular,y,y
ACY192107031,whitd107,HIL,1,value,28,,41,10,0,0,0,6,0,3,,,0,0,0,0,,0,,0,,1,,1,,1,19210703,1,ACY01,v,ACY,0,1,0,exhibition,y,
ACY192107031,reddd101,ACY,1,value,30,,40,10,0,0,0,5,0,0,,,0,0,0,0,,0,,0,1,,,1,,1,19210703,1,ACY01,h,HIL,1,0,0,exhibition,y,
CB1192107090,forcb101,DT1,1,value,10,,19,5,,,0,4,,2,,0,1,0,0,1,,,,,,,,1,,,19210709,0,COL04,v,CB1,0,1,0,regular,y,
CB1192107090,gateb101,DT1,2,value,11,,18,4,,,1,3,,2,,1,0,0,0,2,,,,,,1,,,,,19210709,0,COL04,v,CB1,0,1,0,regular,y,
CB1192107090,coopa101,DT1,3,value,2,,4,1,,,0,1,,1,,0,0,0,0,0,,,,,,,,,,,19210709,0,COL04,v,CB1,0,1,0,regular,y,
CB1192107090,hollb106,DT1,4,value,1,,1,0,,,0,0,,0,,0,0,0,0,0,,,,,,,,,1,,19210709,0,COL04,v,CB1,0,1,0,regular,y,
CB1192107090,rober105,CB1,1,value,6,,13,4,,,0,5,,1,,1,1,0,0,1,,,,,,,,1,,,19210709,0,COL04,h,DT1,1,0,0,regular,y,
CB1192107090,britg103,CB1,2,value,21,,29,6,,,0,2,,1,,2,0,0,0,2,,,,,1,,,,1,,19210709,0,COL04,h,DT1,1,0,0,regular,y,
